N_par,Q_bomba_Ls,H_bomba_m,eta_%,P_bomba_kW,N_est,H_total_disp_m,P_total_kW;;;;;;;;;;;;;;;
1,800.0,-810.0,27.0,35900.0,-2,1620.0,-71800.0;;;;;;;;;;N par;Q bomba (L/s);H bombas (m);eta (%);P bomba (kW);P total (kW)
4,200.0,840.0,83.66666666666667,1950.0,3,2520.0,23400.0;;;;;;;;;;3;266.67;656.667;80.30%;2566.66;7699.98
5,160.0,890.0,81.0,1750.0,3,2670.0,26250.0;;;;;;;;;;4;200;840;83.67%;1950;7800
6,133.33333333333334,913.3333333333334,72.66666666666667,1633.3333333333335,3,2740.0,29400.000000000004;;;;;;;;;;5;160;890;81%;1750;8750
3,266.6666666666667,656.6666666666666,80.33333333333333,2566.666666666668,4,2626.6666666666665,30800.000000000015;;;;;;;;;;6;133.33;913.3;72.66%;1633;9798
7,114.28571428571429,930.0,66.71428571428572,1550.0,3,2790.0,32550.0;;;;;;;;;;7;114.3;930;66.71%;1550;10850
8,100.0,942.5,62.25,1487.5,3,2827.5,35700.0;;;;;;;;;;8;100;942.5;62.25%;1487.5;11900
9,88.88888888888889,952.2222222222222,58.77777777777778,1438.888888888889,3,2856.6666666666665,38850.0;;;;;;;;;;9;88.8;952.2;58.77%;1438.88;12949.92
2,400.0,290.0,67.0,10900.0,9,2610.0,196200.0;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;N par;Q bomba (L/s);H bombas (m);eta (%);P bomba (kW);P total (kW)
;;;;;;;;;;3;266.67;256;80.30%;2566.66;7699.98
;;;;;;;;;;4;200;440;83.67%;1950;7800
;;;;;;;;;;5;160;490;81%;1750;8750
;;;;;;;;;;6;133.33;513;72.66%;1633;9798
;;;;;;;;;;7;114.3;530;66.71%;1550;10850
;;;;;;;;;;8;100;542;62.25%;1487.5;11900
;;;;;;;;;;9;88.8;552;58.77%;1438.88;12949.92
