N_par,Q_bomba_Ls,H_bomba_m,eta_%,P_bomba_kW,N_est,H_total_disp_m,P_total_kW
2,400.0,-110.0,67.0,10900.0,-21,2310.0,-457800.0
1,800.0,-1210.0,27.0,35900.0,-1,1210.0,-35900.0
5,160.0,490.0,81.0,1750.0,5,2450.0,43750.0
4,200.0,440.0,83.66666666666667,1950.0,6,2640.0,46800.0
6,133.33333333333334,513.3333333333334,72.66666666666667,1633.3333333333335,5,2566.666666666667,49000.00000000001
7,114.28571428571429,530.0,66.71428571428572,1550.0,5,2650.0,54250.0
8,100.0,542.5,62.25,1487.5,5,2712.5,59500.0
9,88.88888888888889,552.2222222222222,58.77777777777778,1438.888888888889,5,2761.111111111111,64750.0
3,266.6666666666667,256.66666666666663,80.33333333333333,2566.666666666668,10,2566.666666666666,77000.00000000003
